# Index	SPI_SensorBufMag.DATA.MAG.i16XOut	SPI_SensorBufMag.DATA.MAG.i16YOut	SPI_SensorBufMag.DATA.MAG.i16ZOut
981	-2421	3684	3216
982	-2452	3674	3193
983	-2484	3716	3182
984	-2484	3716	3182
985	-2496	3779	3208
986	-2504	3787	3183
987	-2437	3852	3210
988	-2403	3887	3169
989	-2403	3887	3169
990	-2383	4031	3173
991	-2376	4098	3194
992	-2405	4206	3160
993	-2405	4206	3160
994	-2516	4342	3103
995	-2639	4512	3051
996	-2687	4703	2964
997	-2759	4852	2936
998	-2759	4852	2936
999	-2742	4957	2891
1000	-2773	4995	2857
1001	-2776	5057	2842
1002	-2776	5057	2842
1003	-2775	5067	2817
1004	-2811	5125	2824
1005	-2820	5208	2765
1006	-2783	5311	2697
1007	-2783	5311	2697
1008	-2789	5421	2565
1009	-2792	5563	2492
1010	-2805	5607	2358
1011	-2805	5607	2358
1012	-2881	5675	2299
1013	-2834	5741	2241
1014	-2861	5803	2118
1015	-2861	5803	2118
1016	-2835	5912	1900
1017	-2879	6056	1742
1018	-2896	6108	1546
1019	-2887	6174	1515
1020	-2887	6174	1515
1021	-2846	6185	1513
1022	-2803	6191	1493
1023	-2791	6182	1426
1024	-2791	6182	1426
1025	-2792	6133	1437
1026	-2825	6121	1475
1027	-2861	6133	1544
1028	-2853	6115	1614
1029	-2853	6115	1614
1030	-2787	6122	1613
1031	-2762	6128	1661
1032	-2666	6106	1696
1033	-2666	6106	1696
1034	-2639	6110	1741
1035	-2612	6144	1632
1036	-2621	6201	1605
1037	-2636	6245	1484
1038	-2636	6245	1484
1039	-2614	6297	1419
1040	-2553	6321	1337
1041	-2476	6343	1324
1042	-2408	6388	1219
1043	-2408	6388	1219
1044	-2295	6400	1159
1045	-2253	6390	1113
1046	-2179	6434	1008
1047	-2179	6434	1008
1048	-2125	6470	895
1049	-2136	6500	775
1050	-2117	6501	672
1051	-2117	6501	672
1052	-2060	6540	461
1053	-2078	6528	399
1054	-2038	6502	222
1055	-1963	6543	178
1056	-1963	6543	178
1057	-1917	6515	68
1058	-1924	6501	-47
1059	-1898	6459	-130
1060	-1898	6459	-130
1061	-1908	6452	-268
1062	-1890	6448	-361
1063	-1826	6425	-491
1064	-1783	6404	-562
1065	-1783	6404	-562
1066	-1704	6374	-607
1067	-1672	6358	-644
1068	-1633	6305	-743
1069	-1633	6305	-743
1070	-1536	6234	-725
1071	-1419	6144	-812
1072	-1250	6020	-869
1073	-1055	5934	-888
1074	-1055	5934	-888
1075	-881	5786	-911
1076	-730	5652	-947
1077	-575	5520	-907
1078	-575	5520	-907
1079	-366	5377	-951
1080	-221	5192	-892
1081	-61	5033	-847
1082	69	4936	-786
1083	69	4936	-786
1084	200	4782	-722
1085	295	4657	-583
1086	486	4427	-444
1087	486	4427	-444
1088	597	4310	-362
1089	687	4149	-189
1090	741	3994	-39
1091	816	3870	81
1092	816	3870	81
1093	852	3725	160
1094	918	3550	277
1095	950	3512	302
1096	950	3512	302
1097	941	3470	381
1098	948	3483	452
1099	942	3459	491
1100	943	3454	520
1101	943	3454	520
1102	921	3450	558
1103	938	3373	626
1104	915	3320	715
1105	915	3320	715
1106	927	3239	787
1107	897	3180	797
1108	903	3122	841
1109	906	3081	906
1110	906	3081	906
1111	889	3087	898
1112	910	3052	1047
1113	893	2996	1118
1114	893	2996	1118
1115	905	2924	1189
1116	843	2849	1270
1117	851	2779	1385
1118	816	2744	1437
1119	816	2744	1437
1120	790	2700	1527
1121	737	2763	1621
1122	711	2845	1743
1123	711	2845	1743
1124	693	2918	1799
1125	646	3011	1903
1126	593	3064	2050
1127	539	3114	2151
1128	539	3114	2151
1129	492	3197	2235
1130	438	3196	2258
1131	376	3236	2336
1132	376	3236	2336
1133	355	3256	2409
1134	287	3293	2509
1135	219	3343	2569
1136	168	3407	2659
1137	168	3407	2659
1138	117	3516	2730
1139	18	3580	2748
1140	-91	3601	2839
1141	-91	3601	2839
1142	-162	3606	2902
1143	-209	3636	2959
1144	-274	3684	3045
1145	-324	3684	3036
1146	-324	3684	3036
1147	-393	3666	3109
1148	-424	3695	3137
